filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,line_range,more_info
shuup/shuup/shuup/front/forms/product_list_modifiers.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,47,15,"[47, 48, 49, 50]",https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/front/forms/product_list_modifiers.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,47,15,"[47, 48, 49, 50]",https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/front/forms/product_list_modifiers.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,63,15,"[63, 64, 65, 66]",https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/front/forms/product_list_modifiers.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,63,15,"[63, 64, 65, 66]",https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/front/forms/widget.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,70,15,"[70, 71, 72]",https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/front/forms/widget.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,70,15,"[70, 71, 72]",https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/front/templatetags/shuup_front.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,59,11,[59],https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/front/templatetags/shuup_front.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,59,11,[59],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/front/templatetags/thumbnails.py,hashlib,B324,HIGH,HIGH,https://cwe.mitre.org/data/definitions/327.html,"Use of weak MD4, MD5, or SHA1 hash for security. Consider usedforsecurity=False",42,18,[42],https://bandit.readthedocs.io/en/1.7.4/plugins/b324_hashlib.html
shuup/shuup/shuup/front/utils/dashboard.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,82,15,[82],https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/front/utils/dashboard.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,82,15,[82],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/front/utils/product.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,125,19,[125],https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/front/utils/product.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,125,19,[125],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/front/views/order.py,hardcoded_password_string,B105,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: '//IMPLICIT//',39,61,[39],https://bandit.readthedocs.io/en/1.7.4/plugins/b105_hardcoded_password_string.html
shuup/shuup/shuup/gdpr/anonymizer.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/605.html,Possible binding to all interfaces.,58,15,[58],https://bandit.readthedocs.io/en/1.7.4/plugins/b104_hardcoded_bind_all_interfaces.html
shuup/shuup/shuup/gdpr/providers.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,25,15,[25],https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/gdpr/providers.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,25,15,[25],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/gdpr/providers.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,71,22,"[71, 72, 73, 74]",https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/gdpr/providers.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,71,22,"[71, 72, 73, 74]",https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/importer/_mapper.py,try_except_continue,B112,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Continue detected.",59,16,[59],https://bandit.readthedocs.io/en/1.7.4/plugins/b112_try_except_continue.html
shuup/shuup/shuup/importer/_mapper.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",67,8,[67],https://bandit.readthedocs.io/en/1.7.4/plugins/b110_try_except_pass.html
shuup/shuup/shuup/reports/writer.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,103,21,[103],https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/reports/writer.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,103,21,[103],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/reports/writer.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,105,21,[105],https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/reports/writer.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,105,21,[105],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/reports/writer.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,288,27,[288],https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/reports/writer.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,288,27,[288],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/simple_cms/migrations/0002_md_to_html.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",21,12,[21],https://bandit.readthedocs.io/en/1.7.4/plugins/b110_try_except_pass.html
shuup/shuup/shuup/tasks/models.py,django_mark_safe,B703,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/80.html,Potential XSS on mark_safe function.,201,15,[201],https://bandit.readthedocs.io/en/1.7.4/plugins/b703_django_mark_safe.html
shuup/shuup/shuup/tasks/models.py,blacklist,B308,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/79.html,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,201,15,[201],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b308-mark-safe
shuup/shuup/shuup/testing/browser_utils.py,hardcoded_password_default,B107,LOW,MEDIUM,https://cwe.mitre.org/data/definitions/259.html,Possible hardcoded password: 'password',155,0,"[155, 156, 157, 158, 159, 160, 161, 162, 163, 164]",https://bandit.readthedocs.io/en/1.7.4/plugins/b107_hardcoded_password_default.html
shuup/shuup/shuup/testing/factories.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,110,15,[110],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
shuup/shuup/shuup/testing/factories.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,170,32,[170],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
shuup/shuup/shuup/testing/factories.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,227,11,[227],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
shuup/shuup/shuup/testing/factories.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,688,24,[688],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
shuup/shuup/shuup/testing/factories.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,717,33,[717],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
shuup/shuup/shuup/testing/factories.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,772,15,[772],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
shuup/shuup/shuup/testing/factories.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,787,21,[787],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
shuup/shuup/shuup/testing/factories.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,788,36,[788],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
shuup/shuup/shuup/testing/factories.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,789,20,[789],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
shuup/shuup/shuup/testing/factories.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,798,15,[798],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
shuup/shuup/shuup/testing/factories.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,844,71,[844],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
shuup/shuup/shuup/testing/factories.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,852,19,[852],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
shuup/shuup/shuup/testing/factories.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,858,22,[858],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
shuup/shuup/shuup/testing/factories.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,862,19,[862],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
shuup/shuup/shuup/testing/factories.py,blacklist,B311,LOW,HIGH,https://cwe.mitre.org/data/definitions/330.html,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,881,11,[881],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b311-random
